DATE,DDEM01JPA156NWDB,index
1975-01-01,42.46333,^N225
1976-01-01,50.95135,^N225
1977-01-01,477.5892,^N225
1978-01-01,567.3816,^N225
1979-01-01,57.5052,^N225
1980-01-01,47.51854,^N225
1981-01-01,61.36106,^N225
1982-01-01,41.94906,^N225
1983-01-01,49.85944,^N225
1984-01-01,49.70069,^N225
1985-01-01,47.99299,^N225
1986-01-01,64.81108,^N225
1987-01-01,73.88029,^N225
1988-01-01,67.11247,^N225
1989-01-01,61.24437,^N225
1990-01-01,52.60552,^N225
1991-01-01,34.2979,^N225
1992-01-01,26.887970000000003,^N225
1993-01-01,31.300040000000003,^N225
1994-01-01,29.77313,^N225
1995-01-01,32.27911,^N225
1996-01-01,39.38136,^N225
1997-01-01,49.98283,^N225
1998-01-01,42.85546,^N225
1999-01-01,45.53389,^N225
2000-01-01,78.58252,^N225
2001-01-01,75.15674,^N225
2002-01-01,83.72835,^N225
2003-01-01,78.82759,^N225
2004-01-01,97.18948,^N225
2005-01-01,94.85619,^N225
2006-01-01,119.1691,^N225
2007-01-01,152.0653,^N225
2008-01-01,199.2651,^N225
2009-01-01,117.0009,^N225
2010-01-01,111.5608,^N225
2011-01-01,129.6174,^N225
2012-01-01,96.19357,^N225
2013-01-01,133.89700000000002,^N225
2014-01-01,110.6605,^N225
2015-01-01,113.8227,^N225
2016-01-01,105.5484,^N225
2017-01-01,92.85861,^N225
2018-01-01,119.0166,^N225
2019-01-01,82.33785999999999,^N225
