DATE,QHKN628BIS
1979-10-01,10.9338
1980-01-01,12.1928
1980-04-01,12.1928
1980-07-01,13.4519
1980-10-01,14.8434
1981-01-01,16.1025
1981-04-01,16.1688
1981-07-01,16.3013
1981-10-01,15.97
1982-01-01,14.9097
1982-04-01,14.3796
1982-07-01,13.6507
1982-10-01,12.9218
1983-01-01,12.2591
1983-04-01,12.3254
1983-07-01,11.8615
1983-10-01,11.2651
1984-01-01,11.5964
1984-04-01,11.6627
1984-07-01,11.0663
1984-10-01,11.1989
1985-01-01,11.6627
1985-04-01,12.2591
1985-07-01,12.988
1985-10-01,13.4519
1986-01-01,13.5181
1986-04-01,13.6507
1986-07-01,14.3133
1986-10-01,15.0422
1987-01-01,16.3013
1987-04-01,17.3615
1987-07-01,17.9579
1987-10-01,18.0905
1988-01-01,18.7531
1988-04-01,20.4097
1988-07-01,21.8676
1988-10-01,23.3917
1989-01-01,26.1086
1989-04-01,27.0363
1989-07-01,25.976
1989-10-01,27.4339
1990-01-01,28.3616
1990-04-01,28.958
1990-07-01,30.0182
1990-10-01,31.3435
1991-01-01,32.8676
1991-04-01,37.1086
1991-07-01,43.4038
1991-10-01,48.5063
1992-01-01,52.7473
1992-04-01,57.5184
1992-07-01,58.7774
1992-10-01,56.7894
1993-01-01,56.3918
1993-04-01,60.3236
1993-07-01,64.8738
1993-10-01,64.9622
1994-01-01,74.8136
1994-04-01,77.3759
1994-07-01,76.8237
1994-10-01,75.5646
1995-01-01,74.151
1995-04-01,73.1128
1995-07-01,69.1369
1995-10-01,68.0104
1996-01-01,72.1188
1996-04-01,75.2333
1996-07-01,77.3538
1996-10-01,85.1731
1997-01-01,101.4302
1997-04-01,110.7295
1997-07-01,112.3419
1997-10-01,107.8801
1998-01-01,92.5507
1998-04-01,82.6992
1998-07-01,68.6951
1998-10-01,66.3758
1999-01-01,67.922
1999-04-01,67.8558
1999-07-01,66.0887
1999-10-01,63.1288
2000-01-01,64.1228
2000-04-01,59.683
2000-07-01,57.8718
2000-10-01,55.7734
2001-01-01,53.675
2001-04-01,53.8075
2001-07-01,52.1067
2001-10-01,48.9259
2002-01-01,48.9039
2002-04-01,47.8215
2002-07-01,45.4801
2002-10-01,43.1388
2003-01-01,41.5705
2003-04-01,39.6488
2003-07-01,39.2954
2003-10-01,42.6528
2004-01-01,48.7713
2004-04-01,51.1569
2004-07-01,51.5545
2004-10-01,55.2432
2005-01-01,59.5726
2005-04-01,62.6429
2005-07-01,61.8919
2005-10-01,59.7272
2006-01-01,60.6328
2006-04-01,61.7814
2006-07-01,61.4501
2006-10-01,61.8256
2007-01-01,63.9903
2007-04-01,66.4421
2007-07-01,68.9381
2007-10-01,75.0345
2008-01-01,82.8538
2008-04-01,83.4281
2008-07-01,81.6611
2008-10-01,71.5666
2009-01-01,71.5887
2009-04-01,77.5747
2009-07-01,84.2454
2009-10-01,88.0667
2010-01-01,93.3017
2010-04-01,97.0346
2010-07-01,102.115
2010-10-01,107.5487
2011-01-01,116.0528
2011-04-01,123.099
2011-07-01,122.7235
2011-10-01,120.6693
2012-01-01,122.7677
2012-04-01,134.0328
2012-07-01,140.1955
2012-10-01,149.6714
2013-01-01,157.3582
2013-04-01,159.81
2013-07-01,162.7699
2013-10-01,162.4607
2014-01-01,161.8422
2014-04-01,164.051
2014-07-01,173.1515
2014-10-01,181.7881
2015-01-01,191.6395
2015-04-01,198.244
2015-07-01,202.1315
2015-10-01,194.5331
2016-01-01,181.9869
2016-04-01,182.2961
2016-07-01,191.1315
2016-10-01,202.8605
2017-01-01,208.7139
2017-04-01,220.9067
2017-07-01,224.8606
2017-10-01,230.6257
2018-01-01,241.4048
2018-04-01,254.3487
2018-07-01,260.3788
2018-10-01,244.0554
2019-01-01,244.453
2019-04-01,261.3728
2019-07-01,256.9109
2019-10-01,252.4049
2020-01-01,249.931
2020-04-01,254.0836
2020-07-01,254.1278
2020-10-01,252.2061
2021-01-01,255.431
2021-04-01,260.4009
2021-07-01,263.6479
2021-10-01,261.417
2022-01-01,255.2985
2022-04-01,254.5254
2022-07-01,244.0775
2022-10-01,225.9871
2023-01-01,229.1457
2023-04-01,232.4811
